@relation titanic
@attribute at1 real [-1.87, 0.965]
@attribute at2 real [-0.228, 4.38]
@attribute at3 real [-1.92, 0.521]
@attribute class {-1.0, 1.0}
@inputs at1, at2, at3
@outputs class
@data
-1.87, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, 1.0
-0.923, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, 1.0
0.0214, 4.38, -1.92, -1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, 1.0
0.0214, -0.228, -1.92, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.0214, -0.228, -1.92, -1.0
0.0214, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
-0.923, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, 4.38, 0.521, 1.0
0.0214, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, -1.92, -1.0
0.0214, -0.228, -1.92, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, 1.0
0.0214, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
-0.923, 4.38, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, 1.0
-1.87, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-0.923, 4.38, 0.521, 1.0
0.0214, -0.228, 0.521, 1.0
-0.923, -0.228, -1.92, -1.0
-1.87, -0.228, 0.521, 1.0
-1.87, -0.228, -1.92, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, 1.0
0.0214, 4.38, -1.92, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
-0.923, 4.38, -1.92, 1.0
-1.87, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, -1.0
0.965, -0.228, 0.521, 1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, 1.0
-0.923, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, 1.0
-0.923, -0.228, 0.521, -1.0
0.0214, 4.38, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
0.0214, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
0.0214, 4.38, -1.92, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
0.0214, 4.38, -1.92, -1.0
0.0214, -0.228, -1.92, -1.0
-0.923, -0.228, -1.92, 1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
0.0214, -0.228, -1.92, 1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, 1.0
-1.87, -0.228, -1.92, 1.0
-0.923, -0.228, 0.521, 1.0
0.0214, 4.38, -1.92, 1.0
-1.87, -0.228, 0.521, 1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, 1.0
0.0214, 4.38, -1.92, -1.0
0.0214, 4.38, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, -1.0
0.0214, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
-1.87, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, 1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, -1.92, 1.0
-1.87, -0.228, -1.92, 1.0
-1.87, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, 1.0
0.0214, -0.228, -1.92, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
-0.923, -0.228, -1.92, 1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
-0.923, -0.228, -1.92, 1.0
-1.87, -0.228, 0.521, 1.0
0.0214, -0.228, -1.92, -1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
-1.87, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, 1.0
-0.923, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, -1.0
0.0214, -0.228, -1.92, 1.0
0.0214, 4.38, 0.521, 1.0
-1.87, -0.228, -1.92, 1.0
-0.923, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
-1.87, -0.228, 0.521, 1.0
0.0214, -0.228, -1.92, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, 4.38, 0.521, 1.0
0.0214, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
-0.923, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
-1.87, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, 4.38, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
-1.87, -0.228, 0.521, -1.0
-1.87, -0.228, 0.521, -1.0
0.0214, 4.38, -1.92, 1.0
0.0214, -0.228, -1.92, -1.0
0.0214, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
0.965, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, -1.0
-0.923, -0.228, 0.521, -1.0
0.0214, -0.228, -1.92, -1.0
0.0214, -0.228, 0.521, 1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, 1.0
-1.87, -0.228, -1.92, 1.0
0.965, -0.228, 0.521, -1.0
0.965, -0.228, 0.521, -1.0
-1.87, -0.228, -1.92, 1.0
0.0214, -0.228, 0.521, -1.0
0.0214, -0.228, 0.521, -1.0
-0.923, -0.228, -1.92, 1.0
-1.87, -0.228, 0.521, 1.0
0.0214, -0.228, 0.521, 1.0
0.0214, -0.228, -1.92, -1.0
-1.87, -0.228, 0.521, 1.0
